bK,CostRate,Status,Range,pSizeM,pSizeSD,pSizeU,pSizeL,cPropM,cPropSD,cPropU,cPropL,cDegM,cDegSD,cDegU,cDegL,resM,resSD,rSizeM,rSizeSD,rSizeU,rSizeL
2.5,0.7,Social,6.0,182.79,173.17716128843085,216.73210017475182,148.8478998252482,0.9906382153846152,0.01337844738807102,0.9932603429102664,0.9880160878589641,0.35337878461538463,0.07944709218099416,0.3689501286733277,0.3378074405574416,4.0,2.854815650219433e-14,127.31,110.78733637018264,149.02391909414487,105.59608090585512
2.5,0.7,Social,8.0,0.0,0.0,0.0,0.0,,,,,,,,,4.0,2.0260233663253066e-14,0.0,0.0,0.0,0.0
2.5,0.7,Social,0.0,588.71,52.92233589292556,599.0825873146042,578.3374126853959,0.96700935,0.030319878491592768,0.9729519370327896,0.9610667629672104,0.180800429,0.04557497300212147,0.189732959638513,0.17186789836148694,5.0,0.0,345.01,20.259069573897023,348.98070470383334,341.0392952961666
2.5,0.7,Social,2.0,605.13,75.85454648353138,619.9972180344048,590.2627819655952,0.9704854700000004,0.023710277421471297,0.97513259901761,0.9658383409823909,0.195476244,0.04724800412856391,0.20473668271638365,0.18621580528361634,5.0,3.2160258258601987e-14,350.06,24.79347494805841,354.9194318333097,345.20056816669035
2.5,0.7,Social,4.0,574.83,116.08400432706507,597.5820469456893,552.0779530543109,0.97569328,0.019724114672597538,0.9795591354690162,0.9718274245309836,0.211666479,0.047847895865300326,0.22104449433717374,0.20228846366282627,5.0,3.7960647109641745e-14,336.49,40.5204874106914,344.4318696587408,328.5481303412592
2.5,0.7,Social,6.0,571.63,165.52662546362063,604.072622695018,539.187377304982,0.9776460100000004,0.02323571452190213,0.9822001263977208,0.9730918936022798,0.23760868100000002,0.05313145113082278,0.2480222541484172,0.2271951078515828,5.0,3.917738322509665e-14,330.4,58.40051369637085,341.8462904426394,318.95370955736064
2.5,0.7,Social,8.0,515.04,254.56605659772703,564.9340306553507,465.1459693446492,0.9814829255319149,0.019185663784291058,0.9852432465652462,0.9777226044985832,0.2627416361702128,0.06648299560150273,0.27577206396932313,0.2497112083711024,5.0,4.184060511422048e-14,294.57,109.56461609479588,316.044270321962,273.09572967803797
2.5,0.7,Social,10.0,133.25,253.4720662791827,182.9296124912812,83.5703875087188,0.9761639285714284,0.029354758745929868,0.9819173556084992,0.9704105015343576,0.351546,0.05249886987989995,0.3618355895005289,0.3412564104994712,5.0,3.5872112061159106e-14,77.06,137.6025304999875,104.02960060888776,50.09039939111225
2.5,0.7,Social,0.0,750.67,40.488695267252616,758.6056385130785,742.7343614869214,0.91783192,0.060075603997548827,0.9296065221113452,0.9060573178886551,0.10582111599999998,0.027365468031199647,0.1111846492184302,0.10045758278156976,6.0,0.0,393.84,11.666807618196163,396.126652292659,391.55334770734095
2.5,0.7,Social,2.0,762.52,86.67313262592926,779.5076219714048,745.5323780285953,0.91947113,0.058432146012528025,0.93092362026273,0.9080186397372702,0.116936471,0.03673962411161121,0.12413730506322898,0.109735636936771,6.0,4.6776346316474725e-14,396.85,22.508831600063118,401.2616499618186,392.4383500381814
2.5,0.7,Social,4.0,783.1,139.25556043157172,810.3935885245704,755.8064114754295,0.9239976999999999,0.049666998437879084,0.93373225289263,0.91426314710737,0.14201391299999996,0.04417223460176385,0.15067151196190112,0.1333563140380988,6.0,4.662301301765257e-14,396.61,32.478576015582945,402.9756839761807,390.24431602381935
2.5,0.7,Social,6.0,779.73,172.43671683586211,813.5269757276483,745.9330242723516,0.9518967099999998,0.029312160471741268,0.9576417879286834,0.946151632071316,0.16569611899999998,0.041721021020367635,0.17387328892431636,0.1575189490756836,6.0,4.7817018527611194e-14,393.67,41.47458378332445,401.79886911303004,385.54113088697005
2.5,0.7,Social,8.0,737.18,258.00334270796736,787.7477263587277,686.6122736412719,0.97120427,0.02854415015759435,0.976798820671948,0.9656097193280522,0.177297342,0.03736087935030865,0.18461993985349484,0.16997474414650515,6.0,4.875276910307348e-14,373.44,77.53790298944124,388.63714984947967,358.24285015052027
