bK,CostRate,Status,Range,pSizeM,pSizeSD,pSizeU,pSizeL,cPropM,cPropSD,cPropU,cPropL,cDegM,cDegSD,cDegU,cDegL,resM,resSD,rSizeM,rSizeSD,rSizeU,rSizeL
10.0,0.16,Social,4.0,779.33,111.93541202249835,801.2689377889266,757.3910622110736,0.5711346739999997,0.18622071122938533,0.6076332630063989,0.5346360849936006,0.06053340300000001,0.017359251347996554,0.06393575377090248,0.057131052229097534,8.0,6.394445622439211e-14,407.34,25.344514199329208,412.30743354281736,402.37256645718264
10.0,0.16,Social,6.0,787.2,163.93882820716811,819.3314201488234,755.0685798511768,0.5103584340000001,0.17930471320198954,0.5455015122906226,0.4752153557093777,0.055592530000000015,0.017522497456580167,0.05902687642049888,0.05215818357950114,8.0,6.053201724830594e-14,406.65,37.77284077217386,414.05334080911933,399.2466591908807
10.0,0.16,Social,8.0,774.31,220.13047990184864,817.4547815910347,731.1652184089653,0.4330206129999999,0.1942743525357004,0.4710976867093281,0.3949435392906717,0.0471663779,0.018522898594820317,0.05079679934214984,0.04353595645785016,8.0,6.373392746131973e-14,395.74,53.29476897407474,406.1855828577504,385.2944171422496
10.0,0.16,Social,10.0,802.39,256.4995479154068,852.6629879930472,752.1170120069528,0.2895077908000001,0.17913990622353335,0.32461856751615026,0.25439701408385,0.0349796616,0.01753391592089081,0.03841624599839728,0.03154307720160271,8.0,6.594517529315346e-14,397.82,61.33634811431147,409.84170341955183,385.79829658044815
10.0,0.16,Social,12.0,754.17,302.6755790638157,813.4933238644232,694.8466761355768,0.12399636490000004,0.16401393136282458,0.15614250499696075,0.09185022480303934,0.01807894875,0.017136084301449188,0.021437559583180558,0.014720337916819443,8.0,5.6571467988991654e-14,376.64,77.18737202418541,391.7684470422011,361.51155295779887
10.0,0.16,Social,14.0,684.68,410.2768683302395,765.0927891960008,604.267210803999,0.041866392785714295,0.05818785343599205,0.05327100258289637,0.030461782988532218,0.009391040642857142,0.008829782537539615,0.011121646232997771,0.007660435052716513,8.0,6.381186179059411e-14,335.1,120.58810057381285,358.73483359530525,311.4651664046948
10.0,0.16,Social,16.0,91.21,306.77782224636513,151.33734876012747,31.08265123987252,0.01024117909090909,0.011197945404035915,0.012435936077496677,0.008046422104321506,0.004108130000000001,0.0035840229210623077,0.004810585590045697,0.003405674409954304,8.0,3.369189475831835e-14,39.47,122.3689874927467,63.45388102022338,15.486118979776625
10.0,0.16,Social,0.0,893.0,51.08024979570792,903.0115450710596,882.9884549289404,0.6508363999999999,0.1403308324796238,0.6783407379750093,0.6233320620249905,0.06793056399999997,0.014285279422768376,0.07073042733985667,0.0651307006601433,9.0,0.0,436.48,11.276063142781705,438.690067782158,434.2699322178421
10.0,0.16,Social,2.0,882.33,74.33775703646245,896.8999327632214,867.7600672367787,0.67206616,0.14062746138277565,0.6996286361721629,0.6445036838278371,0.06969068400000003,0.0136696906803153,0.07236989416245537,0.06701147383754466,9.0,6.056014813412085e-14,434.38,13.783889146391154,437.0815926506917,431.67840734930826
10.0,0.16,Social,4.0,888.06,96.79602838500715,907.0316730977593,869.0883269022407,0.64610896,0.15117166259199066,0.6757380616500448,0.6164798583499551,0.06781744699999998,0.013965249070912308,0.07055458554300212,0.06508030845699783,9.0,5.4920445595115894e-14,434.57,18.0118044626295,438.1002488321793,431.0397511678207
