coop_efficiency,cost_rate,sociality,res_mean,res_var_range,res_sd,pop_size_mean,pop_size_sd,pop_size_ub,pop_size_lb,coop_prop_mean,coop_prop_sd,coop_prop_ub,coop_prop_lb,coop_deg_mean,coop_deg_sd,coop_deg_ub,coop_deg_lb,range_size_mean,range_size_sd,range_size_ub,range_size_lb
2.5,0.7,Social,9,6,6.80E-14,1177.8,199.2821461,1216.858583,1138.741417,0.025247539,0.034471968,0.03200392,0.018491157,0.004679496,0.004138178,0.005490564,0.003868428,465.87,24.14317916,470.6019762,461.1380238
2.5,0.7,Social,9,8,6.92E-14,1179.2,281.7930324,1234.43042,1123.96958,0.035641644,0.04536468,0.044532958,0.02675033,0.006036673,0.005054503,0.007027338,0.005046009,462.7,33.13080138,469.1935178,456.2064822
2.5,0.7,Social,9,10,6.97E-14,1114.62,287.1354792,1170.89752,1058.34248,0.064865673,0.103936286,0.085236811,0.044494535,0.008797521,0.010557972,0.010866845,0.006728196,452.16,38.80405133,459.7654544,444.5545456
2.5,0.7,Social,9,12,6.72E-14,1159.52,413.2314997,1240.511886,1078.528114,0.311855088,0.277861961,0.366315032,0.257395144,0.03339214,0.026917107,0.038667796,0.028116484,447.65,57.77687686,458.9740599,436.3259401
2.5,0.7,Social,9,14,7.25E-14,1075.18,410.3882709,1155.614624,994.7453763,0.80221714,0.160156492,0.833607236,0.770827044,0.080989657,0.015283665,0.0839852,0.077994114,435.83,65.76550083,448.7198014,422.9401986
2.5,0.7,Social,9,16,8.19E-14,1080.19,571.7492509,1192.250795,968.1292051,0.87323553,0.10227483,0.893281028,0.853190032,0.091208453,0.018154855,0.094766739,0.087650167,415.03,93.99419716,433.4525243,396.6074757
2.5,0.7,Social,9,18,6.97E-14,795.35,636.6908511,920.1391147,670.5608853,0.839058198,0.154731467,0.869385008,0.808731387,0.122725204,0.045790373,0.131699952,0.113750456,316.42,184.8636351,352.652607,280.187393
2.5,0.7,Social,10,0,0,1397.22,35.19055773,1404.117223,1390.322777,0.013467532,0.015972738,0.016598131,0.010336933,0.003277894,0.002228441,0.00371466,0.002841127,490.72,5.875508489,491.8715785,489.5684215
2.5,0.7,Social,10,2,7.01E-14,1400.16,76.07156652,1415.069753,1385.250247,0.012192719,0.012213091,0.014586441,0.009798997,0.002911935,0.001974763,0.003298982,0.002524889,490.91,7.519434819,492.3837822,489.4362178
2.5,0.7,Social,10,4,7.21E-14,1377.86,143.2746899,1405.941323,1349.778677,0.01378727,0.01316859,0.016368266,0.011206274,0.003173699,0.001800632,0.003526616,0.002820781,488.61,11.65237744,490.893824,486.326176
2.5,0.7,Social,10,6,6.92E-14,1362.83,184.7284141,1399.036104,1326.623896,0.012196063,0.012825704,0.014709855,0.009682271,0.003129584,0.002116092,0.00354433,0.002714837,485.82,15.57201336,488.8720586,482.7679414
2.5,0.7,Social,10,8,7.89E-14,1301.73,264.2731926,1353.526594,1249.933406,0.017350587,0.022155335,0.021692953,0.013008222,0.003812698,0.002831936,0.004367747,0.003257649,476.71,24.51215821,481.5142948,471.9057052
2.5,0.7,Social,10,10,8.09E-14,1315.79,320.4135363,1378.5899,1252.9901,0.017484906,0.021070943,0.021614735,0.013355077,0.003689321,0.003064055,0.004289864,0.003088777,474.55,35.29118162,481.4669445,467.6330555
2.5,0.7,Social,10,12,8.10E-14,1289.63,412.0285284,1370.386108,1208.873892,0.024672847,0.02705817,0.029976151,0.019369543,0.005199017,0.003965287,0.005976199,0.004421835,466.65,43.5649802,475.1885793,458.1114207
2.5,0.7,Social,10,14,8.04E-14,1236.65,458.0330228,1326.422824,1146.877176,0.040599546,0.057036708,0.051778535,0.029420556,0.006413997,0.006296999,0.007648186,0.005179808,455.19,54.82658023,465.9358123,444.4441877
2.5,0.7,Social,10,16,7.05E-14,1140.09,464.5468324,1231.139507,1049.040493,0.182697965,0.215315662,0.22489906,0.14049687,0.021278886,0.021132657,0.025420811,0.017136962,441.43,62.58198703,453.6958442,429.1641558
2.5,0.7,Social,10,18,7.88E-14,1190.86,652.442033,1318.73629,1062.98371,0.596267784,0.285994018,0.652321582,0.540213986,0.061206559,0.027562752,0.066608759,0.055804358,424.39,93.34815424,442.6859022,406.0940978
2.5,0.7,Social,10,20,7.76E-14,992.26,693.9601133,1128.273684,856.2463161,0.539422072,0.343145487,0.606677353,0.472166792,0.057746176,0.034431842,0.064494693,0.050997659,374.77,144.2729257,403.0469741,346.4930259
2.5,0.7,Social,11,0,0,1571.37,33.96393066,1578.026808,1564.713192,0.009629907,0.007533475,0.011106441,0.008153373,0.002809173,0.00169387,0.003141166,0.002477181,501.81,5.088604917,502.8073482,500.8126518
2.5,0.7,Social,11,2,8.05E-14,1567.07,71.9952657,1581.180813,1552.959187,0.010778975,0.010994551,0.012933868,0.008624083,0.002820129,0.001916183,0.003195694,0.002444564,501.84,6.309865292,503.0767109,500.6032891
