Species,Clade,social_system,range_size,pre_var_among,pre_var_within,tmp,dtr,str,pre,body_mass,abundance,X95..Lower.CI,X95..Upper.CI
Dicaeum_melanoxanthum,P2,0,1275828.236,2.186354255,2.967578392,14.09734433,11.58686396,12.65467377,112.2711929,8.46,222168,2472,20906542
Dicaeum_vincens,P2,0,12166.57244,2.802437544,2.978680134,26.4084727,7.267083486,2.189999978,217.0333862,8.46,4205,48,348869
Dicaeum_aureolimbatum,P2,0,180161.6205,2.462216618,2.819989532,24.52389304,10.47153305,1.24972724,205.8997423,8.1,971596,10007,86027654
Dicaeum_nigrilore,P2,0,13373.77655,2.645213604,2.747985363,22.82875061,9.939618111,1.42083323,200.4663239,11,4727,54,422957
Dicaeum_anthonyi,P2,0,124936.68,2.674164161,2.92888607,24.59219556,9.120211927,2.707804878,216.5170839,11.6,2534,28,229563
Dicaeum_bicolor,P2,0,259805.9834,2.648242919,2.972707913,25.29048152,8.714252807,2.766051572,202.4937021,9.1,228168,2622,20837777
Dicaeum_quadricolor,P2,0,7.841919379,2.539267421,2.841306567,27.20006943,6.890972376,2.585000038,148.0750046,8.46,NA,NA,NA
Dicaeum_haematostictum,P2,0,24617.98202,2.566874591,3.044024793,26.45229184,6.873371298,2.47045453,171.3626931,8.8,8259,97,665700
Dicaeum_australe,P2,0,237198.6786,2.660759125,2.957908417,25.23487724,8.912543685,2.823044434,206.530309,8.7,951330,11551,91965680
Dicaeum_retrocinctum,P2,0,9862.363729,2.617999494,3.146238029,25.41019154,7.789844036,2.478749931,194.862278,6.5,948,11,92924
Dicaeum_trigonostigma,P2,0,2335989.48,2.583792254,2.964630296,25.53356195,9.267617536,3.08570096,226.8492078,7.1,2879677,31336,248585081
Dicaeum_hypoleucum,P2,0,229004.9156,2.656188998,2.950745978,25.19536379,8.95506105,2.802123277,206.1064275,8,433389,4620,37836882
Dicaeum_erythrorhynchos,P2,0,2149808.709,2.298867554,3.035708507,25.31181775,11.09624712,11.06579789,112.9305046,6.3,3907662,44452,379920264
Dicaeum_concolor,P2,0,221339.9773,2.396755331,3.066866614,25.7417261,9.558000371,5.347286025,133.0473183,6.2,615046,7421,48970235
Dicaeum_pygmaeum,P2,0,269443.5129,2.646155155,2.962904509,25.3294505,8.736360788,2.740213161,200.2752043,5,646438,7091,60610631
Dicaeum_nehrkorni,P2,0,88003.64042,2.371864485,2.798235646,23.66554097,11.31903543,1.214255897,212.0469088,8.46,273767,2845,25437076
Dicaeum_erythrothorax,P2,0,8554.413882,2.741668542,2.978347063,24.69375038,11.28055541,0.921111623,198.7029877,8.94,10459,104,808300
Dicaeum_vulneratum,P2,0,17914.97257,2.823287582,3.021288252,25.80130615,9.45779171,1.028333318,256.7542969,8.94,15851,167,1456443
Dicaeum_pectorale,P2,0,97817.39456,2.677079892,2.709397046,25.67670631,9.173713207,1.072833359,264.0274241,7.6,348995,3963,32475738
Dicaeum_geelvinkianum,P2,0,535112.2197,2.484456063,2.788848811,25.72737179,10.38790897,1.791670795,253.6661055,6.8,961417,10275,81069382
Dicaeum_nitidum,P2,0,1321.841033,2.908033689,2.799966574,26.56212997,6.087014039,2.305000067,277.8448079,8.46,NA,NA,NA
Dicaeum_eximium,P2,0,42129.27029,2.753144965,2.964806706,25.89377642,9.426614881,1.355677068,359.8132553,7.9,206046,2272,19184206
Dicaeum_aeneum,P2,0,32482.61596,2.521989803,2.679933627,25.84222841,8.703698079,1.759722392,270.469841,9.24,56057,579,4766874
Dicaeum_tristrami,P2,0,3331.873873,2.32965517,2.694721937,25.03784752,7.199652672,1.659166813,269.5940857,11.7,NA,NA,NA
Dicaeum_igniferum,P2,0,29611.18348,2.644330049,3.036625385,25.08381996,10.21506977,2.214750123,150.1659531,8.46,18895,227,1761046
Dicaeum_maugei,P2,0,39542.5677,2.49241596,2.936954333,25.3067043,9.781677613,2.533525696,112.4846796,8.46,23322,275,2178331
Dicaeum_ignipectus,P2,0,4029931.666,2.317835038,2.948872968,17.91450986,9.510279049,14.80747604,123.9430787,5.72,2227854,24886,198154938
Dicaeum_monticolum,P2,0,40321.16974,2.640729427,2.77884858,23.54878535,9.234449659,0.938035705,292.4975194,8.46,195279,2080,16830573
Dicaeum_celebicum,P2,0,185414.6424,2.44312063,2.818256945,24.56176206,10.43583599,1.235570141,204.5806823,6.5,1115786,11582,107969283
Dicaeum_sanguinolentum,P2,0,69233.11325,2.769633087,3.113184019,25.20090961,10.90509497,1.866477321,225.1476614,8.46,391947,4413,32364089
Dicaeum_hirundinaceum,P2,0,6464367.1,2.135534694,2.337084456,21.59944202,14.08815421,14.54649028,40.25251656,9.04,4203282,44749,367415721
Dicaeum_cruentatum,P2,0,4479690.765,2.426031614,2.993367153,23.28002785,9.268077507,8.678327506,169.9042768,5.6,4125183,40921,367195796
Dicaeum_trochileum,P2,0,322091.4326,2.626323303,2.939105945,26.57176519,8.511203831,1.474256553,204.6516715,8.46,1686478,18991,146341724
