coop_efficiency,cost_rate,sociality,res_mean,res_var_range,res_sd,pop_size_mean,pop_size_sd,pop_size_ub,pop_size_lb,coop_prop_mean,coop_prop_sd,coop_prop_ub,coop_prop_lb,coop_deg_mean,coop_deg_sd,coop_deg_ub,coop_deg_lb,range_size_mean,range_size_sd,range_size_ub,range_size_lb
10,0.16,Social,9,10,6.78E-14,888.41,221.1017909,931.745155,845.074845,0.542412358,0.175503839,0.576810479,0.508014237,0.057864467,0.016061188,0.061012402,0.054716532,422.81,44.57615843,431.5467666,414.0732334
10,0.16,Social,9,12,6.47E-14,831.17,273.8882783,884.8511165,777.4888835,0.421345882,0.189002746,0.45838974,0.384302024,0.04643884,0.017497765,0.049868339,0.043009341,406.06,58.22075575,417.4710585,394.6489415
10,0.16,Social,9,14,7.11E-14,850.05,377.8003154,924.0975017,776.0024983,0.240624903,0.192570268,0.278367982,0.202881824,0.030674645,0.018216385,0.03424499,0.027104299,392.84,88.63799637,410.2127282,375.4672718
10,0.16,Social,9,16,7.16E-14,853.08,482.664923,947.6805873,758.4794127,0.069404347,0.093005804,0.08763315,0.051175544,0.012909387,0.010950885,0.015055721,0.010763053,375.5,112.9980973,397.6472203,353.3527797
10,0.16,Social,9,18,5.12E-14,335.86,531.2997218,439.9928328,231.7271672,0.032303042,0.044602601,0.041044991,0.023561093,0.007414427,0.007932316,0.008969132,0.005859721,146.86,191.4216822,184.3779606,109.3420394
10,0.16,Social,10,0,0,985.62,45.48365896,994.5346334,976.7053666,0.72029093,0.11040979,0.741930851,0.698651009,0.074959927,0.011355083,0.077185482,0.072734372,453.28,9.087441884,455.0611059,451.4988941
10,0.16,Social,10,2,6.94E-14,978.46,60.63109513,990.3434764,966.5765236,0.72291679,0.122202672,0.746868074,0.698965506,0.075150598,0.011878323,0.077478706,0.07282249,452.43,10.35205777,454.4589661,450.4010339
10,0.16,Social,10,4,6.88E-14,971.37,102.0591683,991.3732296,951.3667704,0.70168134,0.12278197,0.725746164,0.677616516,0.072877699,0.012273513,0.075283263,0.070472135,450.09,15.15394008,453.0601177,447.1198823
10,0.16,Social,10,6,7.75E-14,1011.15,144.5922428,1039.489559,982.810441,0.67078567,0.140490521,0.698321306,0.643250034,0.069647178,0.013271865,0.072248416,0.06704594,453.69,21.27284419,457.8594009,449.5205991
10,0.16,Social,10,8,7.75E-14,961.6,195.1879695,999.8561393,923.3438607,0.67029862,0.152951243,0.700276513,0.640320727,0.06983745,0.013903125,0.072562412,0.067112488,443.58,32.23326853,449.8976046,437.2623954
10,0.16,Social,10,10,7.39E-14,936.13,243.0908985,983.774941,888.485059,0.63363394,0.131794556,0.659465198,0.607802682,0.066956696,0.01197758,0.069304259,0.064609133,435.03,40.0890147,442.8873026,427.1726974
10,0.16,Social,10,12,8.32E-14,959.8,268.5029955,1012.425621,907.1743795,0.56733921,0.153512622,0.597427131,0.537251289,0.060000877,0.015136004,0.062967479,0.057034275,434.51,48.07109214,443.931761,425.088239
10,0.16,Social,10,14,7.43E-14,898.3,318.4567744,960.7163813,835.8836187,0.51159385,0.156199573,0.542208404,0.480979296,0.053885682,0.014883741,0.056802842,0.050968522,416.03,63.51180284,428.4780847,403.5819153
10,0.16,Social,10,16,7.90E-14,971.78,442.2521695,1058.459833,885.1001669,0.368104322,0.179957619,0.403375367,0.332833276,0.041232291,0.017000944,0.044564415,0.037900167,413.17,84.57364306,429.7461296,396.5938704
10,0.16,Social,10,18,6.77E-14,953,542.0450799,1059.238884,846.7611157,0.148894947,0.161404976,0.180529742,0.117260153,0.020853916,0.015883431,0.023967011,0.017740821,394.21,103.9128765,414.5765497,373.8434503
10,0.16,Social,10,20,7.19E-14,633.01,662.9969529,762.955016,503.064984,0.080066377,0.097496938,0.099175426,0.060957328,0.013597246,0.011930396,0.015935561,0.011258932,251.72,206.9012363,292.2718975,211.1681025
10,0.16,Social,11,0,0,1094.86,51.86365575,1105.02509,1084.69491,0.72014721,0.115780745,0.742839819,0.697454601,0.075309728,0.011573061,0.077578006,0.07304145,469.01,7.974327558,470.5729395,467.4470605
10,0.16,Social,11,2,8.02E-14,1091.83,65.00536963,1104.570818,1079.089182,0.73093939,0.106643406,0.751841114,0.710037666,0.075708311,0.010236108,0.077714551,0.073702071,468.49,9.619246332,470.3753377,466.6046623
10,0.16,Social,11,4,8.20E-14,1089,101.808396,1108.954079,1069.045921,0.741721,0.114512865,0.764165109,0.719276891,0.077039892,0.010710845,0.079139179,0.074940605,466.6,13.64697769,469.2747585,463.9252415
10,0.16,Social,11,6,8.24E-14,1072.49,147.1720971,1101.335201,1043.644799,0.72596122,0.1186988,0.749225757,0.702696683,0.075382093,0.010942247,0.077526734,0.073237452,462.8,20.08930063,466.7374306,458.8625694
10,0.16,Social,11,8,8.72E-14,1069.51,168.4497045,1102.525536,1036.494464,0.71587944,0.121477151,0.739688524,0.692070356,0.073726618,0.011032747,0.075888997,0.071564239,462.57,21.03865728,466.6935011,458.4464989
10,0.16,Social,11,10,8.58E-14,1109.77,214.9217313,1151.893886,1067.646114,0.68601207,0.111552459,0.70787595,0.66414819,0.070844543,0.010727459,0.072947086,0.068742,463.9,27.59619539,469.308755,458.491245
10,0.16,Social,11,12,8.14E-14,1046.85,264.7106053,1098.732326,994.9676743,0.66069682,0.136719113,0.687493274,0.633900366,0.06934062,0.012847743,0.071858731,0.066822509,452.87,39.67232159,460.6456322,445.0943678
10,0.16,Social,11,14,7.93E-14,1001.69,306.8884144,1061.839024,941.5409756,0.62392551,0.131293076,0.64965848,0.59819254,0.066591863,0.01263668,0.069068607,0.064115119,440.47,48.85989255,450.046363,430.893637
10,0.16,Social,11,16,8.94E-14,1042.97,383.1752363,1118.070967,967.8690331,0.5331331,0.152868806,0.563094836,0.503171364,0.057070676,0.014394846,0.059892014,0.054249338,437.99,64.27588895,450.5878428,425.3921572
10,0.16,Social,11,18,8.83E-14,1132.9,503.2913187,1231.543287,1034.256713,0.422400952,0.183019087,0.458272034,0.38652987,0.045835421,0.01648744,0.0490669,0.042603942,438.56,69.3622837,452.1547579,424.9652421
10,0.16,Social,11,20,8.68E-14,975.92,485.7503969,1071.125329,880.7146709,0.252926596,0.175230282,0.2872711,0.218582091,0.03022588,0.017245207,0.033605878,0.026845881,406.46,90.60964849,424.2191649,388.7008351
10,0.16,Social,11,22,6.77E-14,932.78,675.9327649,1065.260389,800.2996114,0.111387324,0.124478246,0.135784612,0.086990036,0.016903176,0.013957912,0.019638877,0.014167476,353.42,176.9006603,388.0918926,318.7481074
10,0.16,Social,12,0,0,1190.74,50.15302241,1200.569812,1180.910188,0.73165837,0.109783979,0.753175635,0.710141105,0.07584476,0.010487303,0.077900234,0.073789286,479.71,7.03035561,481.0879244,478.3320756
10,0.16,Social,12,2,9.48E-14,1186.38,67.49616974,1199.609006,1173.150994,0.7485183,0.127118685,0.773433105,0.723603495,0.077057802,0.011182613,0.079249554,0.07486605,478.42,8.513730087,480.0886604,476.7513396
10,0.16,Social,12,4,8.71E-14,1183.34,96.56580109,1202.266549,1164.413451,0.72562687,0.106634164,0.746526782,0.704726958,0.076067291,0.011062493,0.0782355,0.073899082,477.88,10.67359358,479.9719859,475.7880141
10,0.16,Social,12,6,9.85E-14,1175.58,125.8817932,1200.252378,1150.907622,0.72502588,0.117245842,0.748005643,0.702046117,0.075484972,0.009697351,0.077385618,0.073584326,476.29,14.03089092,479.0400041,473.5399959
10,0.16,Social,12,8,8.68E-14,1141.87,188.5930714,1178.833563,1104.906437,0.75110946,0.112046406,0.773070152,0.729148768,0.077427451,0.010779049,0.079540106,0.075314796,470.9,20.99214139,475.0143841,466.7856159
10,0.16,Social,12,10,7.77E-14,1136.51,229.1673331,1181.425972,1091.594028,0.72014591,0.114951984,0.742676085,0.697615735,0.074441764,0.011037347,0.076605044,0.072278484,467.82,26.23676047,472.9623106,462.6776894
10,0.16,Social,12,12,8.88E-14,1138.49,228.7081637,1183.315977,1093.664023,0.70556948,0.12703067,0.730467034,0.680671926,0.073205617,0.011359008,0.075431942,0.070979292,468.69,26.8911491,473.9605684,463.4194316
10,0.16,Social,12,14,9.72E-14,1171.34,339.3354236,1237.848521,1104.831479,0.65237354,0.112317989,0.674387461,0.630359619,0.067865544,0.011198734,0.070060456,0.065670632,464.75,40.57594731,472.7027396,456.7972604
10,0.16,Social,12,16,9.60E-14,1143.58,361.3098276,1214.395425,1072.764575,0.64620122,0.133677762,0.67240158,0.62000086,0.067544898,0.012817808,0.070057142,0.065032654,457.99,49.01846489,467.5974427,448.3825573
10,0.16,Social,12,18,8.01E-14,1162.18,467.7688797,1253.861016,1070.498984,0.55030952,0.148006093,0.579318181,0.521300859,0.058945904,0.013745514,0.061639975,0.056251833,451.22,60.35123528,463.0486249,439.3913751
